,Review Name,Review Text,address,city
0, Shweta Jindal ,"This is how I got the order from this place. I can’t trust this condition of the food, I don’t know whose is at fault either the restaurant or the delivery person. But it’s disappointing.", 1493 Finch Ave W, North York
1, Nero Odogun ,"Got my order wrong which happens. Had a sausage bacon biscuit forgot the bacon. It’s fine, I work in the restaurant industry it’s very common to make an omission during peak hours. The manager however a filipino lady is very aggressive, there is ways to talk to your staffs and customers. I work in management  so seeing how she handles omission mistake is disrespectful. Whoever you are you were extremely demeaning to your staff and us too. She literally snatched the wrong order off my partner rather than ask politely to see. Probably racist too because we were of colour. Would have been different if we were not. Hard working staffs, bad management.  Do better and be more organized. New management I presume.", 1493 Finch Ave W, North York
2, Eat with Arpit ,"They don't even have coffee there. I went there and asked if you had an espresso they refused. Then, again I went the next day, there was no espresso. Why bother opening the cafe, if you can't even serve coffee. How ironic?", 1493 Finch Ave W, North York
3, Akhilesh Dave ,I have ordered Cheese croissant toasted. The lady was making something sandwich like thing which has meat in it. And she didn’t prepared my croissant with same gloves.  She didn’t changed gloves while making my food. And I don’t want meat. I also work in food service franchise it is very unprofessional and unhygienic not to change gloves. I just walked out with my iced coffee at least that was perfect. Please work on this and if your employees doesn’t know how to work with hygiene then I’m ready to give my assistance. Thank you., 1493 Finch Ave W, North York
4, Cara Cooper ,"In TO for a couple of weeks for a course. This Tim’s is within walking distance from my air b&b and I have gone nightly for a steeped tea and sandwich for lunch the next day. You cannot even taste steeped tea, just the cream and sugar.
The sandwich is why I am taking the time to post. Although it’s in the fridge overnight, it shouldn’t be hard as rock as if it’s a week old. Where’s Tim’s quality control with this location?", 1493 Finch Ave W, North York
5, Natasha Sheppard ,"I typically never have to wait in line and for a gas station Tim Hortons, they have the full menu which is nice! My go-to Timmies in the area 👌🏽", 1493 Finch Ave W, North York
6, Gurpreet Mann ,"Very convenient, big parking even a small truck can get coffee here", 1493 Finch Ave W, North York
7, Thuy Pham ,"Very close to CWJ, so super easy to go and order at lunchtime. I usually order an iced coffee every time but the make it so bitter. Yeah, it’s coffee, but they use to add so much sugar to it now it just tastes disgusting. But their pastries are super good.", 1493 Finch Ave W, North York
8, Ajaib Singh ,Always yummy food and fresh coffee. Here you will get clean and friendly environment., 1493 Finch Ave W, North York
9, Parth Rabara ,"Puchased donut and coffee. Worst location to grab coffee. Its doesn’t matter if u ask double double or triple triple , u get served regular every single time.", 1493 Finch Ave W, North York
